#n 	k 	A-opt	D-opt	random(det)
3	3	1	1	1
4	4	1	1	1
4	5	3	3	3
5	5	1	1	1
5	6	3	3	2.925
5	7	6	7	6.46
5	8	13	13	12.34
5	9	22	22	22
8	8	1	1	1
8	12	15	28	19.6
8	14	43	75	53.125		
8	16	125	182	123.2
8	20	712	811	653.4
8	24	2662	2766	2408.4
10	10	1	1	1
10	15	21	56	32
10	20	219	555	392.6
10	23	996	1776	1052.8
10	25	2217	3443	2066.6
10	30	13411	16077	10311.6
11	11	1	1	1
11	14	10	15	10.125
11	15	15	29	21.8
11	19	99	235	116.6
11	22	277	964	535.6
11	26	2060	4462	2482.6
11	33	29555	38548	24192.4
11	35	54540	66960	46069							
15	15	1	1	1
15	17	8	7	5.2		
15	20	21	57	34.2
15	22	36	213	73			
15	25	155	838	368.2	
15	30	892	8653	3062.6
15	33	4556	25538	9777.6
15	35	9904	56382	20352.2
