"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_1h1r","lig_31","A-optimal (lomap)",0.0421492568307139,-434.577127941884,-24.8880006177351,-592.863486140966,210.5719503453
"lig_20","lig_31","A-optimal (lomap)",0.404767560945137,-891.221020951867,182.565040863119,-592.863486140966,210.5719503453
"lig_1oiy","lig_21","A-optimal (lomap)",0.404767560945137,-856.931826496962,1.74608384817839,-956.402479783166,-133.947845781222
"lig_1h1q","lig_1h1r","A-optimal (lomap)",0.0792975214659337,-713.954697389447,-192.134197492152,-434.577127941884,-24.8880006177351
"lig_20","lig_22","A-optimal (lomap)",0.495056559883137,-891.221020951867,182.565040863119,-1017.26953267027,-32.0177607257501
"lig_1h1r","lig_1oi9","A-optimal (lomap)",0.0643728503228422,-434.577127941884,-24.8880006177351,-410.832556866109,-178.337555638514
"lig_1h1s","lig_28","A-optimal (lomap)",0.904548433191916,-616.196165875299,70.069039426744,-752.563294768333,306.165606115013
"lig_1h1s","lig_30","A-optimal (lomap)",1,-616.196165875299,70.069039426744,-689.693380892277,358.404933912563
"lig_1h1r","lig_26","A-optimal (lomap)",0.0521535630784177,-434.577127941884,-24.8880006177351,-723.064026655396,2.00501620396972
"lig_17","lig_1h1r","A-optimal (lomap)",0.0945544611517132,-581.817574616522,-74.7181541776517,-434.577127941884,-24.8880006177351
"lig_1h1s","lig_1oiu","A-optimal (lomap)",0.0975265559647391,-616.196165875299,70.069039426744,-540.556221241131,-274.930247487267
"lig_1h1s","lig_31","A-optimal (lomap)",0.447656714582379,-616.196165875299,70.069039426744,-592.863486140966,210.5719503453
"lig_1h1s","lig_26","A-optimal (lomap)",0.330845180849971,-616.196165875299,70.069039426744,-723.064026655396,2.00501620396972
"lig_1h1s","lig_29","A-optimal (lomap)",0.740031150758547,-616.196165875299,70.069039426744,-384.577297835145,136.760578652844
"lig_1h1s","lig_1oi9","A-optimal (lomap)",0.404767560945137,-616.196165875299,70.069039426744,-410.832556866109,-178.337555638514
"lig_17","lig_1oi9","A-optimal (lomap)",0.0643728503228422,-581.817574616522,-74.7181541776517,-410.832556866109,-178.337555638514
"lig_1h1s","lig_1oiy","A-optimal (lomap)",0.605335792217532,-616.196165875299,70.069039426744,-856.931826496962,1.74608384817839
"lig_17","lig_1h1q","A-optimal (lomap)",0.0792975214659337,-581.817574616522,-74.7181541776517,-713.954697389447,-192.134197492152
"lig_1oiy","lig_22","A-optimal (lomap)",0.404767560945137,-856.931826496962,1.74608384817839,-1017.26953267027,-32.0177607257501
"lig_20","lig_26","A-optimal (lomap)",0.495056559883137,-891.221020951867,182.565040863119,-723.064026655396,2.00501620396972
"lig_1h1s","lig_32","A-optimal (lomap)",0.740031150758547,-616.196165875299,70.069039426744,-451.595235282555,253.484167834744
