"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_1h1s","lig_1oiy","A -optimal",0.605335792217532,-419.237394797092,-429.526944937184,-288.922256083228,-740.508685860783
"lig_1h1s","lig_1oi9","A -optimal",0.404767560945137,-419.237394797092,-429.526944937184,-134.833513043821,-345.826520860195
"lig_1h1s","lig_26","A -optimal",0.330845180849971,-419.237394797092,-429.526944937184,-546.160269318148,-530.427999838284
"lig_1h1s","lig_29","A -optimal",0.740031150758547,-419.237394797092,-429.526944937184,-323.247236380354,-210.186545416713
"lig_17","lig_26","A -optimal",0.0521535630784177,-339.589349577203,-527.256041736342,-546.160269318148,-530.427999838284
"lig_28","lig_31","A -optimal",0.365959849906267,-599.507555512711,-171.716777009889,-574.626023573801,-356.469433556005
"lig_1h1q","lig_1oi9","A -optimal",0.0792975214659337,-218.082934739999,-606.986514210701,-134.833513043821,-345.826520860195
"lig_17","lig_1h1q","A -optimal",0.0792975214659337,-339.589349577203,-527.256041736342,-218.082934739999,-606.986514210701
"lig_1oiy","lig_21","A -optimal",0.404767560945137,-288.922256083228,-740.508685860783,-438.09482413251,-842.521156127565
"lig_1h1s","lig_1oiu","A -optimal",0.0975265559647391,-419.237394797092,-429.526944937184,-69.6476389616728,-478.705316863954
"lig_1h1s","lig_30","A -optimal",1,-419.237394797092,-429.526944937184,-722.746218157001,-425.552739292383
"lig_1oiy","lig_22","A -optimal",0.404767560945137,-288.922256083228,-740.508685860783,-484.604403473437,-743.846571367234
"lig_17","lig_1h1r","A -optimal",0.0945544611517132,-339.589349577203,-527.256041736342,-291.322266701609,-368.506037736312
"lig_20","lig_30","A -optimal",0.330845180849971,-678.539957264438,-632.695656955242,-722.746218157001,-425.552739292383
"lig_1h1s","lig_31","A -optimal",0.447656714582379,-419.237394797092,-429.526944937184,-574.626023573801,-356.469433556005
"lig_1h1r","lig_1oi9","A -optimal",0.0643728503228422,-291.322266701609,-368.506037736312,-134.833513043821,-345.826520860195
"lig_1h1q","lig_22","A -optimal",0.0643728503228422,-218.082934739999,-606.986514210701,-484.604403473437,-743.846571367234
"lig_20","lig_21","A -optimal",0.495056559883137,-678.539957264438,-632.695656955242,-438.09482413251,-842.521156127565
"lig_1h1s","lig_32","A -optimal",0.740031150758547,-419.237394797092,-429.526944937184,-443.568150257692,-189.220761023462
"lig_1h1q","lig_1h1r","A -optimal",0.0792975214659337,-218.082934739999,-606.986514210701,-291.322266701609,-368.506037736312
"lig_17","lig_31","A -optimal",0.0421492568307139,-339.589349577203,-527.256041736342,-574.626023573801,-356.469433556005
"lig_20","lig_22","A -optimal",0.495056559883137,-678.539957264438,-632.695656955242,-484.604403473437,-743.846571367234
"lig_1h1q","lig_21","A -optimal",0.0643728503228422,-218.082934739999,-606.986514210701,-438.09482413251,-842.521156127565
"lig_1h1s","lig_28","A -optimal",0.904548433191916,-419.237394797092,-429.526944937184,-599.507555512711,-171.716777009889
"lig_1h1r","lig_26","A -optimal",0.0521535630784177,-291.322266701609,-368.506037736312,-546.160269318148,-530.427999838284
