"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_1h1r","lig_1oiy","negA -optimal",0.0421492568307139,-323.664458151907,-669.300604611635,-297.988798341277,-955.65333149489
"lig_1h1r","lig_32","negA -optimal",0.00777666560823267,-323.664458151907,-669.300604611635,-500.455648835734,-738.782990902662
"lig_30","lig_31","negA -optimal",0.6693188908745,-855.509908022534,-506.984364609234,-619.065756291617,-589.5403361395
"lig_1h1q","lig_1h1r","negA -optimal",0.0792975214659337,-447.764413881116,-924.117263153195,-323.664458151907,-669.300604611635
"lig_1h1r","lig_1oi9","negA -optimal",0.0643728503228422,-323.664458151907,-669.300604611635,-363.965805771761,-818.896073802374
"lig_1h1q","lig_1oiy","negA -optimal",0.0521535630784177,-447.764413881116,-924.117263153195,-297.988798341277,-955.65333149489
"lig_1h1r","lig_21","negA -optimal",0.0210289473807663,-323.664458151907,-669.300604611635,-218.864271152765,-781.934649247676
"lig_28","lig_31","negA -optimal",0.365959849906267,-769.86239727959,-651.031476393982,-619.065756291617,-589.5403361395
"lig_26","lig_28","negA -optimal",0.00443244780393095,-905.7806648314,-819.549979686548,-769.86239727959,-651.031476393982
"lig_31","lig_32","negA -optimal",0.00443244780393095,-619.065756291617,-589.5403361395,-500.455648835734,-738.782990902662
"lig_20","lig_31","negA -optimal",0.404767560945137,-759.923744961619,-393.640176662244,-619.065756291617,-589.5403361395
"lig_1oi9","lig_21","negA -optimal",0.0521535630784177,-363.965805771761,-818.896073802374,-218.864271152765,-781.934649247676
"lig_1oiy","lig_32","negA -optimal",0.119791548980177,-297.988798341277,-955.65333149489,-500.455648835734,-738.782990902662
"lig_29","lig_32","negA -optimal",0,-709.866719237063,-939.77613041061,-500.455648835734,-738.782990902662
"lig_20","lig_28","negA -optimal",0.119791548980177,-759.923744961619,-393.640176662244,-769.86239727959,-651.031476393982
"lig_17","lig_1h1s","negA -optimal",0.0135862537834995,-754.856528212316,-1406.46649212763,-764.199819866801,-1594.62568303011
"lig_1h1q","lig_32","negA -optimal",0.0105730146474941,-447.764413881116,-924.117263153195,-500.455648835734,-738.782990902662
"lig_17","lig_1oiu","negA -optimal",0.00810598310046825,-754.856528212316,-1406.46649212763,-756.779060387984,-1196.60066431016
"lig_20","lig_30","negA -optimal",0.330845180849971,-759.923744961619,-393.640176662244,-855.509908022534,-506.984364609234
"lig_1oi9","lig_32","negA -optimal",0.00810598310046824,-363.965805771761,-818.896073802374,-500.455648835734,-738.782990902662
"lig_1oiu","lig_29","negA -optimal",0.00307851218431213,-756.779060387984,-1196.60066431016,-709.866719237063,-939.77613041061
"lig_28","lig_30","negA -optimal",0.605335792217532,-769.86239727959,-651.031476393982,-855.509908022534,-506.984364609234
"lig_1oi9","lig_1oiy","negA -optimal",0.0120043659501996,-363.965805771761,-818.896073802374,-297.988798341277,-955.65333149489
"lig_26","lig_29","negA -optimal",0.00307851218431213,-905.7806648314,-819.549979686548,-709.866719237063,-939.77613041061
"lig_21","lig_32","negA -optimal",0.0172666323752128,-218.864271152765,-781.934649247676,-500.455648835734,-738.782990902662
"lig_22","lig_28","negA -optimal",0.00810598310046825,-614.530553347431,-418.348581437021,-769.86239727959,-651.031476393982
"lig_1h1q","lig_1oi9","negA -optimal",0.0792975214659337,-447.764413881116,-924.117263153195,-363.965805771761,-818.896073802374
"lig_1h1q","lig_21","negA -optimal",0.0643728503228422,-447.764413881116,-924.117263153195,-218.864271152765,-781.934649247676
"lig_1oiy","lig_21","negA -optimal",0.404767560945137,-297.988798341277,-955.65333149489,-218.864271152765,-781.934649247676
"lig_22","lig_30","negA -optimal",0.0272523366179931,-614.530553347431,-418.348581437021,-855.509908022534,-506.984364609234
"lig_22","lig_31","negA -optimal",0.0339584236425085,-614.530553347431,-418.348581437021,-619.065756291617,-589.5403361395
"lig_20","lig_22","negA -optimal",0.495056559883137,-759.923744961619,-393.640176662244,-614.530553347431,-418.348581437021
"lig_1h1r","lig_1oiy","negD -optimal",0.0421492568307139,843.528169016354,-453.993202910759,573.113288768451,-364.767142205033
"lig_1h1q","lig_1h1r","negD -optimal",0.0792975214659337,765.257947426755,-333.251854263246,843.528169016354,-453.993202910759
"lig_29","lig_30","negD -optimal",0.0172666323752128,914.849829761311,-237.281122992747,787.783034136519,-130.456892429851
"lig_1oi9","lig_29","negD -optimal",0.00521799005419411,646.234561378602,-129.947607432958,914.849829761311,-237.281122992747
"lig_1h1q","lig_1oiy","negD -optimal",0.0521535630784177,765.257947426755,-333.251854263246,573.113288768451,-364.767142205033
"lig_1h1q","lig_30","negD -optimal",0.0421492568307139,765.257947426755,-333.251854263246,787.783034136519,-130.456892429851
"lig_1h1q","lig_1h1s","negD -optimal",0.0172666323752128,765.257947426755,-333.251854263246,708.693751452491,-610.620852751425
"lig_1oiu","lig_28","negD -optimal",0.00443244780393095,907.753628338804,-338.253045398742,642.580738838762,-448.767285345122
"lig_26","lig_28","negD -optimal",0.00443244780393095,604.061373922974,-232.089166190475,642.580738838762,-448.767285345122
"lig_21","lig_29","negD -optimal",0.00608614850410467,1023.82294945046,-34.9796910523437,914.849829761311,-237.281122992747
"lig_1h1q","lig_28","negD -optimal",0.0135862537834995,765.257947426755,-333.251854263246,642.580738838762,-448.767285345122
"lig_1h1r","lig_1oiu","negD -optimal",0.00810598310046825,843.528169016354,-453.993202910759,907.753628338804,-338.253045398742
"lig_1h1r","lig_28","negD -optimal",0.0105730146474941,843.528169016354,-453.993202910759,642.580738838762,-448.767285345122
"lig_29","lig_31","negD -optimal",0.00443244780393095,914.849829761311,-237.281122992747,1106.04034489673,-134.268549796339
"lig_1h1r","lig_30","negD -optimal",0.0339584236425085,843.528169016354,-453.993202910759,787.783034136519,-130.456892429851
"lig_1oiu","lig_20","negD -optimal",0.0105730146474941,907.753628338804,-338.253045398742,1029.34346744046,-530.46201743558
"lig_29","lig_32","negD -optimal",0,914.849829761311,-237.281122992747,1171.25637220871,-339.647307543084
"lig_26","lig_29","negD -optimal",0.00307851218431213,604.061373922974,-232.089166190475,914.849829761311,-237.281122992747
"lig_1oi9","lig_30","negD -optimal",0.00927787443045154,646.234561378602,-129.947607432958,787.783034136519,-130.456892429851
"lig_1oiu","lig_29","negD -optimal",0.00307851218431213,907.753628338804,-338.253045398742,914.849829761311,-237.281122992747
"lig_22","lig_29","negD -optimal",0.00608614850410467,891.058172881603,0.508243843913078,914.849829761311,-237.281122992747
"lig_1oi9","lig_1oiy","negD -optimal",0.0120043659501996,646.234561378602,-129.947607432958,573.113288768451,-364.767142205033
"lig_17","lig_32","negD -optimal",0.00777666560823267,1381.9107332658,-370.257396794856,1171.25637220871,-339.647307543084
"lig_1h1r","lig_29","negD -optimal",0.00810598310046825,843.528169016354,-453.993202910759,914.849829761311,-237.281122992747
"lig_1oi9","lig_28","negD -optimal",0.00704561197522744,646.234561378602,-129.947607432958,642.580738838762,-448.767285345122
"lig_1h1q","lig_29","negD -optimal",0.0105730146474941,765.257947426755,-333.251854263246,914.849829761311,-237.281122992747
"lig_1oiu","lig_30","negD -optimal",0.00608614850410467,907.753628338804,-338.253045398742,787.783034136519,-130.456892429851
"lig_1oiu","lig_1oiy","negD -optimal",0.00810598310046825,907.753628338804,-338.253045398742,573.113288768451,-364.767142205033
"lig_1h1q","lig_1oiu","negD -optimal",0.0172666323752128,765.257947426755,-333.251854263246,907.753628338804,-338.253045398742
"lig_1oi9","lig_1oiu","negD -optimal",0.0135862537834995,646.234561378602,-129.947607432958,907.753628338804,-338.253045398742
"lig_1oiu","lig_32","negD -optimal",0.00307851218431213,907.753628338804,-338.253045398742,1171.25637220871,-339.647307543084
"lig_1h1r","lig_1h1s","negD -optimal",0.0135862537834995,843.528169016354,-453.993202910759,708.693751452491,-610.620852751425
