"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_1h1s","lig_21","A -optimal",0.14698607285965,-520.663719849515,-266.745984625537,-275.147956863046,-36.227868221933
"lig_1oiy","lig_22","A -optimal",0.404767560945137,-591.611909898929,12.9776951931417,-371.630711831152,44.7535211048089
"lig_1h1s","lig_26","A -optimal",0.330845180849971,-520.663719849515,-266.745984625537,-422.803708672989,-323.619405810256
"lig_1oiu","lig_22","A -optimal",0.0105730146474941,-489.741835495981,-55.4835158856586,-371.630711831152,44.7535211048089
"lig_1h1q","lig_1oiu","A -optimal",0.0172666323752128,-442.936186973006,-172.007040483877,-489.741835495981,-55.4835158856586
"lig_17","lig_1h1q","A -optimal",0.0792975214659337,-618.488606534898,-321.80509667797,-442.936186973006,-172.007040483877
"lig_1h1s","lig_22","A -optimal",0.14698607285965,-520.663719849515,-266.745984625537,-371.630711831152,44.7535211048089
"lig_17","lig_31","A -optimal",0.0421492568307139,-618.488606534898,-321.80509667797,-329.699731319211,-387.740566157736
"lig_1h1s","lig_31","A -optimal",0.447656714582379,-520.663719849515,-266.745984625537,-329.699731319211,-387.740566157736
"lig_1h1q","lig_1h1r","A -optimal",0.0792975214659337,-442.936186973006,-172.007040483877,-663.577484203503,-203.498540001689
"lig_1h1q","lig_20","A -optimal",0.0643728503228422,-442.936186973006,-172.007040483877,-259.603429859504,-225.833628785796
"lig_17","lig_1h1r","A -optimal",0.0945544611517132,-618.488606534898,-321.80509667797,-663.577484203503,-203.498540001689
"lig_1h1r","lig_1oiy","A -optimal",0.0421492568307139,-663.577484203503,-203.498540001689,-591.611909898929,12.9776951931417
"lig_1h1r","lig_26","A -optimal",0.0521535630784177,-663.577484203503,-203.498540001689,-422.803708672989,-323.619405810256
"lig_1h1s","lig_32","A -optimal",0.740031150758547,-520.663719849515,-266.745984625537,-535.523458302021,-570.506254389882
"lig_1h1s","lig_1oiu","A -optimal",0.0975265559647391,-520.663719849515,-266.745984625537,-489.741835495981,-55.4835158856586
"lig_1h1s","lig_30","A -optimal",1,-520.663719849515,-266.745984625537,-384.669767817482,-506.409012563527
"lig_1h1s","lig_1oi9","A -optimal",0.404767560945137,-520.663719849515,-266.745984625537,-743.534822706133,-91.8066037595272
"lig_1h1s","lig_29","A -optimal",0.740031150758547,-520.663719849515,-266.745984625537,-783.433426345699,-421.747390519828
"lig_1h1s","lig_28","A -optimal",0.904548433191916,-520.663719849515,-266.745984625537,-666.102517221123,-561.117444381118
"lig_20","lig_21","A -optimal",0.495056559883137,-259.603429859504,-225.833628785796,-275.147956863046,-36.227868221933
"lig_17","lig_1oi9","A -optimal",0.0643728503228422,-618.488606534898,-321.80509667797,-743.534822706133,-91.8066037595272
