"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_35","lig_56","A-optimal (lomap)",0.904805648568069,-348.560303384904,-3744.0821326552,-707.944711067015,-3948.51210934017
"lig_20","lig_43","A-optimal (lomap)",0.878054733797668,-232.669741128571,-4068.44643778424,-391.328839329071,-4088.53640745021
"lig_35","lig_36","A-optimal (lomap)",0.904805648568069,-348.560303384904,-3744.0821326552,-721.27439612383,-3665.74643510152
"lig_29","lig_55","A-optimal (lomap)",0.818670237406793,66.2618967844173,-3585.85363141791,36.9567460189573,-3834.78492053598
"lig_23","lig_35","A-optimal (lomap)",0.496417241758028,-433.20245523937,-3459.49181349861,-348.560303384904,-3744.0821326552
"lig_43","lig_56","A-optimal (lomap)",0.449145125832976,-391.328839329071,-4088.53640745021,-707.944711067015,-3948.51210934017
"lig_62","lig_68","A-optimal (lomap)",0.670209984323405,-120.604244794464,-3584.68758965656,-81.4874732354656,-3228.61890423112
"lig_52","lig_53","A-optimal (lomap)",0.904805648568069,-928.842295041308,-3674.67199876532,-708.284023664193,-3755.99360647425
"lig_63","lig_64","A-optimal (lomap)",0.904805648568069,-683.655329801142,-3574.16306736879,-527.073103468399,-3816.64230337273
"lig_35","lig_63","A-optimal (lomap)",0.740731694370158,-348.560303384904,-3744.0821326552,-683.655329801142,-3574.16306736879
"lig_63","lig_65","A-optimal (lomap)",0.904805648568069,-683.655329801142,-3574.16306736879,-752.299596062861,-3375.34102245513
"lig_54","lig_57","A-optimal (lomap)",0.904805648568069,-789.166224701563,-3849.62273069844,-603.235401893733,-3942.35563356802
"lig_39","lig_46","A-optimal (lomap)",0.406371546514256,-91.1871694168076,-4020.60920643096,-128.134276063647,-4392.09368674364
"lig_20","lig_41","A-optimal (lomap)",0.606399302289221,-232.669741128571,-4068.44643778424,58.4943358378951,-4094.34415614093
"lig_39","lig_41","A-optimal (lomap)",0.449145125832976,-91.1871694168076,-4020.60920643096,58.4943358378951,-4094.34415614093
"lig_58","lig_65","A-optimal (lomap)",0.367668411443349,-473.466684732819,-3638.2710746415,-752.299596062861,-3375.34102245513
"lig_38","lig_59","A-optimal (lomap)",0.272288932054776,-252.012579652481,-3912.99735002406,-103.953480715631,-4198.36316661909
"lig_43","lig_47","A-optimal (lomap)",0.606399302289221,-391.328839329071,-4088.53640745021,-415.121116564376,-4449.40261827319
"lig_35","lig_69","A-optimal (lomap)",0.904805648568069,-348.560303384904,-3744.0821326552,-37.1683193547651,-3429.69544126652
"lig_20","lig_42","A-optimal (lomap)",1,-232.669741128571,-4068.44643778424,-497.199669624562,-4102.63215575367
"lig_44","lig_48","A-optimal (lomap)",0.878054733797668,-244.687532443553,-4360.84644422308,-400.07098323456,-4596.23173924768
"lig_29","lig_35","A-optimal (lomap)",1,66.2618967844173,-3585.85363141791,-348.560303384904,-3744.0821326552
"lig_35","lig_54","A-optimal (lomap)",0.740731694370158,-348.560303384904,-3744.0821326552,-789.166224701563,-3849.62273069844
"lig_38","lig_49","A-optimal (lomap)",0.496417241758028,-252.012579652481,-3912.99735002406,-388.12309383884,-4297.89131935069
"lig_35","lig_39","A-optimal (lomap)",0.406371546514256,-348.560303384904,-3744.0821326552,-91.1871694168076,-4020.60920643096
"lig_19","lig_24","A-optimal (lomap)",0.740731694370158,-257.169896263629,-3297.32108874712,92.9943086882122,-3257.6687859972
"lig_35","lig_60","A-optimal (lomap)",0.300960919712809,-348.560303384904,-3744.0821326552,-174.639947353862,-3721.45080059022
"lig_35","lig_70","A-optimal (lomap)",0.904805648568069,-348.560303384904,-3744.0821326552,24.1572010172531,-3691.82618693262
"lig_39","lig_59","A-optimal (lomap)",0.122163465496512,-91.1871694168076,-4020.60920643096,-103.953480715631,-4198.36316661909
"lig_35","lig_62","A-optimal (lomap)",0.740731694370158,-348.560303384904,-3744.0821326552,-120.604244794464,-3584.68758965656
