"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_44","lig_47","A -optimal",0.818670237406793,-4478.98992294446,4189.97770011052,-4468.55112596229,4482.0148805175
"lig_35","lig_62","A -optimal",0.740731694370158,-3871.48893415835,4458.24426262081,-3993.89405040909,4874.04223007523
"lig_53","lig_70","A -optimal",0.60639930228922,-3211.51785375248,4306.03100052103,-3329.96291967202,4556.35122217238
"lig_35","lig_36","A -optimal",0.904805648568069,-3871.48893415835,4458.24426262081,-3521.70177786471,4530.14764664276
"lig_43","lig_59","A -optimal",0.122163465496512,-4252.89624310285,4431.81799531728,-4262.55917302961,4746.78818712384
"lig_29","lig_35","A -optimal",1,-3461.37142697163,4240.63193809986,-3871.48893415835,4458.24426262081
"lig_35","lig_56","A -optimal",0.904805648568069,-3871.48893415835,4458.24426262081,-3958.8321696138,4283.70896852016
"lig_36","lig_70","A -optimal",0.740731694370158,-3521.70177786471,4530.14764664276,-3329.96291967202,4556.35122217238
"lig_52","lig_56","A -optimal",0.740731694370158,-3583.87066748837,4266.96848495305,-3958.8321696138,4283.70896852016
"lig_29","lig_70","A -optimal",0.818670237406793,-3461.37142697163,4240.63193809986,-3329.96291967202,4556.35122217238
"lig_38","lig_67","A -optimal",0.272288932054776,-4004.52752332529,4727.65114204213,-3795.78268812597,4777.14007173479
"lig_20","lig_41","A -optimal",0.606399302289221,-4226.59158099821,4569.68011750281,-4148.9469989147,4350.22437123815
"lig_46","lig_49","A -optimal",0.548661009514295,-4573.8992122265,4618.28367839102,-4487.8445912574,4378.83057133702
"lig_63","lig_65","A -optimal",0.904805648568069,-3872.25725310668,5139.37188612856,-3855.41317447834,4900.55062590539
"lig_20","lig_46","A -optimal",0.332648366635892,-4226.59158099821,4569.68011750281,-4573.8992122265,4618.28367839102
"lig_35","lig_64","A -optimal",0.740731694370158,-3871.48893415835,4458.24426262081,-3735.64475109801,4871.69472591986
"lig_35","lig_67","A -optimal",0.670209984323405,-3871.48893415835,4458.24426262081,-3795.78268812597,4777.14007173479
"lig_33","lig_35","A -optimal",0.449145125832976,-3866.91255665198,4083.33238420077,-3871.48893415835,4458.24426262081
"lig_35","lig_69","A -optimal",0.904805648568069,-3871.48893415835,4458.24426262081,-3667.04383877572,4654.76086266804
"lig_30","lig_35","A -optimal",0.406371546514256,-3756.07496668445,4095.25497605663,-3871.48893415835,4458.24426262081
"lig_35","lig_65","A -optimal",0.818670237406793,-3871.48893415835,4458.24426262081,-3855.41317447834,4900.55062590539
"lig_47","lig_48","A -optimal",1,-4468.55112596229,4482.0148805175,-4391.67500984669,4716.69032686297
"lig_19","lig_24","A -optimal",0.740731694370158,-3486.69911544351,3895.20958379563,-3668.84309114685,4040.69602523744
"lig_38","lig_59","A -optimal",0.272288932054776,-4004.52752332529,4727.65114204213,-4262.55917302961,4746.78818712384
"lig_20","lig_42","A -optimal",1,-4226.59158099821,4569.68011750281,-4235.04321844876,4263.77240515873
"lig_24","lig_33","A -optimal",1,-3668.84309114685,4040.69602523744,-3866.91255665198,4083.33238420077
"lig_58","lig_60","A -optimal",0.740731694370158,-3555.92221192271,4830.95866762567,-3515.06787629426,4679.02295707259
"lig_20","lig_38","A -optimal",0.818670237406793,-4226.59158099821,4569.68011750281,-4004.52752332529,4727.65114204213
"lig_30","lig_31","A -optimal",0.904805648568069,-3756.07496668445,4095.25497605663,-3961.34046899481,4052.81301138364
"lig_35","lig_54","A -optimal",0.740731694370158,-3871.48893415835,4458.24426262081,-3426.69655889086,4381.24715484679
"lig_44","lig_49","A -optimal",1,-4478.98992294446,4189.97770011052,-4487.8445912574,4378.83057133702
"lig_35","lig_57","A -optimal",0.740731694370158,-3871.48893415835,4458.24426262081,-3581.20495896088,4408.04137399723
"lig_34","lig_37","A -optimal",0.332648366635892,-3804.57586286031,4266.67111711763,-4031.92588232411,4110.08835934632
"lig_35","lig_39","A -optimal",0.406371546514256,-3871.48893415835,4458.24426262081,-4092.54217999545,4509.36205551587
"lig_35","lig_43","A -optimal",0.406371546514256,-3871.48893415835,4458.24426262081,-4252.89624310285,4431.81799531728
"lig_43","lig_44","A -optimal",0.740731694370158,-4252.89624310285,4431.81799531728,-4478.98992294446,4189.97770011052
"lig_26","lig_34","A -optimal",1,-3801.3496384076,3972.11084058508,-3804.57586286031,4266.67111711763
"lig_38","lig_58","A -optimal",0.332648366635892,-4004.52752332529,4727.65114204213,-3555.92221192271,4830.95866762567
"lig_63","lig_64","A -optimal",0.904805648568069,-3872.25725310668,5139.37188612856,-3735.64475109801,4871.69472591986
"lig_19","lig_23","A -optimal",1,-3486.69911544351,3895.20958379563,-3581.70641181129,4115.54386933567
"lig_35","lig_42","A -optimal",0.332648366635892,-3871.48893415835,4458.24426262081,-4235.04321844876,4263.77240515873
"lig_39","lig_49","A -optimal",0.740731694370158,-4092.54217999545,4509.36205551587,-4487.8445912574,4378.83057133702
"lig_67","lig_68","A -optimal",1,-3795.78268812597,4777.14007173479,-3608.06534765381,4995.70135930739
"lig_62","lig_63","A -optimal",1,-3993.89405040909,4874.04223007523,-3872.25725310668,5139.37188612856
"lig_20","lig_35","A -optimal",0.332648366635892,-4226.59158099821,4569.68011750281,-3871.48893415835,4458.24426262081
"lig_46","lig_48","A -optimal",0.60639930228922,-4573.8992122265,4618.28367839102,-4391.67500984669,4716.69032686297
"lig_33","lig_34","A -optimal",0.496417241758028,-3866.91255665198,4083.33238420077,-3804.57586286031,4266.67111711763
"lig_58","lig_70","A -optimal",0.367668411443349,-3555.92221192271,4830.95866762567,-3329.96291967202,4556.35122217238
"lig_39","lig_55","A -optimal",0.449145125832976,-4092.54217999545,4509.36205551587,-3707.69322181121,4536.35884970985
"lig_35","lig_37","A -optimal",0.165020228168219,-3871.48893415835,4458.24426262081,-4031.92588232411,4110.08835934632
"lig_35","lig_52","A -optimal",0.904805648568069,-3871.48893415835,4458.24426262081,-3583.87066748837,4266.96848495305
"lig_19","lig_26","A -optimal",0.606399302289221,-3486.69911544351,3895.20958379563,-3801.3496384076,3972.11084058508
"lig_58","lig_64","A -optimal",0.367668411443349,-3555.92221192271,4830.95866762567,-3735.64475109801,4871.69472591986
"lig_39","lig_47","A -optimal",0.606399302289221,-4092.54217999545,4509.36205551587,-4468.55112596229,4482.0148805175
"lig_39","lig_41","A -optimal",0.449145125832976,-4092.54217999545,4509.36205551587,-4148.9469989147,4350.22437123815
"lig_65","lig_68","A -optimal",0.818670237406793,-3855.41317447834,4900.55062590539,-3608.06534765381,4995.70135930739
"lig_60","lig_69","A -optimal",0.332648366635892,-3515.06787629426,4679.02295707259,-3667.04383877572,4654.76086266804
"lig_38","lig_62","A -optimal",0.332648366635892,-4004.52752332529,4727.65114204213,-3993.89405040909,4874.04223007523
"lig_54","lig_57","A -optimal",0.904805648568069,-3426.69655889086,4381.24715484679,-3581.20495896088,4408.04137399723
"lig_23","lig_30","A -optimal",0.740731694370158,-3581.70641181129,4115.54386933567,-3756.07496668445,4095.25497605663
"lig_24","lig_35","A -optimal",0.406371546514256,-3668.84309114685,4040.69602523744,-3871.48893415835,4458.24426262081
"lig_26","lig_37","A -optimal",0.30096091971281,-3801.3496384076,3972.11084058508,-4031.92588232411,4110.08835934632
