"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_26","lig_35","A -optimal",0.367668411443349,496.679991935147,-5557.56279529631,240.559844933567,-5468.92624785285
"lig_35","lig_58","A -optimal",0.300960919712809,240.559844933567,-5468.92624785285,-32.0942938692315,-5569.70461068675
"lig_42","lig_49","A -optimal",0.606399302289221,586.384074638132,-5714.87456360459,847.942307996535,-5748.87926405668
"lig_35","lig_62","A -optimal",0.740731694370158,240.559844933567,-5468.92624785285,316.128736975661,-5658.46757805371
"lig_35","lig_63","A -optimal",0.740731694370158,240.559844933567,-5468.92624785285,-62.7878225818276,-5482.38400555309
"lig_35","lig_70","A -optimal",0.904805648568069,240.559844933567,-5468.92624785285,492.310847481771,-5287.20419538394
"lig_35","lig_36","A -optimal",0.904805648568069,240.559844933567,-5468.92624785285,277.575199261308,-4820.57771365345
"lig_34","lig_35","A -optimal",0.406371546514256,-74.1832722050895,-5155.94369116239,240.559844933567,-5468.92624785285
"lig_35","lig_67","A -optimal",0.670209984323405,240.559844933567,-5468.92624785285,343.86893122959,-5186.80368249211
"lig_35","lig_65","A -optimal",0.818670237406793,240.559844933567,-5468.92624785285,-46.8242056032177,-5375.63156352751
"lig_19","lig_35","A -optimal",0.449145125832976,244.218787017628,-4925.67644083849,240.559844933567,-5468.92624785285
"lig_31","lig_35","A -optimal",0.496417241758028,423.764756382909,-5238.05179998931,240.559844933567,-5468.92624785285
"lig_35","lig_54","A -optimal",0.740731694370158,240.559844933567,-5468.92624785285,52.9863504319219,-5534.74336263537
"lig_20","lig_35","A -optimal",0.332648366635892,249.647931041545,-5769.98639414087,240.559844933567,-5468.92624785285
"lig_20","lig_46","A -optimal",0.332648366635892,249.647931041545,-5769.98639414087,402.956950637017,-5982.96118256752
"lig_35","lig_53","A -optimal",0.740731694370158,240.559844933567,-5468.92624785285,537.034575300524,-5458.79703623056
"lig_20","lig_41","A -optimal",0.606399302289221,249.647931041545,-5769.98639414087,191.214823613176,-6012.78419374116
"lig_35","lig_42","A -optimal",0.332648366635892,240.559844933567,-5468.92624785285,586.384074638132,-5714.87456360459
"lig_35","lig_60","A -optimal",0.300960919712809,240.559844933567,-5468.92624785285,449.302375632804,-5463.68399038212
"lig_34","lig_37","A -optimal",0.332648366635892,-74.1832722050895,-5155.94369116239,-265.170465311094,-4959.00736755878
"lig_38","lig_59","A -optimal",0.272288932054776,72.230194832664,-6103.33047828823,-30.7660497142933,-6326.01908557641
"lig_35","lig_43","A -optimal",0.406371546514256,240.559844933567,-5468.92624785285,414.40340827452,-5328.75080613513
"lig_20","lig_47","A -optimal",0.496417241758028,249.647931041545,-5769.98639414087,473.302637224813,-5891.84825535119
"lig_35","lig_56","A -optimal",0.904805648568069,240.559844933567,-5468.92624785285,142.912905208999,-5658.12781527638
"lig_35","lig_39","A -optimal",0.406371546514256,240.559844933567,-5468.92624785285,423.451912439428,-5630.32038477156
"lig_20","lig_38","A -optimal",0.818670237406793,249.647931041545,-5769.98639414087,72.230194832664,-6103.33047828823
"lig_35","lig_69","A -optimal",0.904805648568069,240.559844933567,-5468.92624785285,180.191539377207,-5220.53054057248
"lig_20","lig_44","A -optimal",0.606399302289221,249.647931041545,-5769.98639414087,305.228161411826,-6010.07823316008
"lig_30","lig_35","A -optimal",0.406371546514256,523.387217174168,-5361.94852397218,240.559844933567,-5468.92624785285
"lig_20","lig_42","A -optimal",1,249.647931041545,-5769.98639414087,586.384074638132,-5714.87456360459
"lig_24","lig_35","A -optimal",0.406371546514256,11.3076182143996,-5302.45296623046,240.559844933567,-5468.92624785285
"lig_33","lig_35","A -optimal",0.449145125832976,241.551791973645,-4853.05786753166,240.559844933567,-5468.92624785285
"lig_29","lig_35","A -optimal",1,83.7247761187609,-5225.58983466192,240.559844933567,-5468.92624785285
"lig_23","lig_35","A -optimal",0.496417241758028,306.501130315417,-4928.85087382793,240.559844933567,-5468.92624785285
"lig_35","lig_57","A -optimal",0.740731694370158,240.559844933567,-5468.92624785285,245.726289779788,-5147.20850766171
"lig_35","lig_64","A -optimal",0.740731694370158,240.559844933567,-5468.92624785285,296.116503135854,-5273.5745146824
"lig_35","lig_52","A -optimal",0.904805648568069,240.559844933567,-5468.92624785285,117.304259804543,-5308.65952801052
"lig_20","lig_48","A -optimal",0.496417241758028,249.647931041545,-5769.98639414087,57.1150931251468,-5936.96579370648
"lig_35","lig_55","A -optimal",0.904805648568069,240.559844933567,-5468.92624785285,18.8126322675962,-5428.79511937068
"lig_35","lig_68","A -optimal",0.60639930228922,240.559844933567,-5468.92624785285,38.3514559747709,-5651.01860255003
"lig_55","lig_65","D -optimal",0.670209984323405,1952.22042514011,-2571.55600508675,2072.58068652265,-2829.014737175
"lig_47","lig_48","D -optimal",1,2658.16441611666,-1435.65053091757,2465.44575120602,-1597.80863206368
"lig_55","lig_56","D -optimal",1,1952.22042514011,-2571.55600508675,1829.65526995808,-2269.83057180978
"lig_69","lig_70","D -optimal",1,1962.07795178844,-2208.6265686173,2258.65364064905,-2302.90035168082
"lig_63","lig_64","D -optimal",0.904805648568069,2506.56599194277,-2682.21439554449,2491.18720311951,-2424.93305412354
"lig_38","lig_59","D -optimal",0.272288932054776,1499.17952286638,-1063.74543973245,1428.16899705678,-872.345406781882
"lig_30","lig_31","D -optimal",0.904805648568069,749.900489094667,-2935.88441440114,919.530863570981,-2802.28543179086
"lig_26","lig_34","D -optimal",1,759.042986616027,-2338.11922679562,962.742267435417,-2420.15324649026
"lig_19","lig_23","D -optimal",1,1398.91162726749,-2631.12076664413,1124.35306175984,-2619.46730535594
"lig_52","lig_54","D -optimal",0.904805648568069,1332.91251234803,-1955.69017667836,1054.45354107395,-1825.33043582737
"lig_20","lig_42","D -optimal",1,1736.44850283768,-1600.30809450196,1597.12337185354,-1312.31253348803
"lig_44","lig_49","D -optimal",1,2201.63281524926,-1764.29195161723,2288.76318850112,-1576.80446555559
"lig_46","lig_47","D -optimal",0.670209984323405,2797.33544526668,-1288.94120504241,2658.16441611666,-1435.65053091757
"lig_67","lig_68","D -optimal",1,2083.18843087787,-3107.73954942147,2124.08724220865,-3315.35795478616
"lig_24","lig_33","D -optimal",1,1349.9255346749,-2896.77319024131,1295.78261462599,-3108.97953903861
"lig_52","lig_53","D -optimal",0.904805648568069,1332.91251234803,-1955.69017667836,1209.25117606911,-1790.04617966688
"lig_20","lig_41","D -optimal",0.606399302289221,1736.44850283768,-1600.30809450196,1759.11238221126,-1400.49042943679
"lig_39","lig_43","D -optimal",1,1951.75568560325,-1732.00488355011,1903.06942436931,-1911.62930836994
"lig_44","lig_48","D -optimal",0.878054733797668,2201.63281524926,-1764.29195161723,2465.44575120602,-1597.80863206368
"lig_20","lig_43","D -optimal",0.878054733797668,1736.44850283768,-1600.30809450196,1903.06942436931,-1911.62930836994
"lig_58","lig_60","D -optimal",0.740731694370158,2758.4107804019,-2439.32577059232,2964.50038372166,-2472.78467111615
"lig_38","lig_42","D -optimal",0.818670237406793,1499.17952286638,-1063.74543973245,1597.12337185354,-1312.31253348803
"lig_34","lig_37","D -optimal",0.332648366635892,962.742267435417,-2420.15324649026,745.300761661259,-2474.82677329297
"lig_62","lig_65","D -optimal",0.904805648568069,2337.29475808644,-2852.4873499542,2072.58068652265,-2829.014737175
"lig_35","lig_69","D -optimal",0.904805648568069,1634.55741942208,-2139.6480151657,1962.07795178844,-2208.6265686173
"lig_35","lig_52","D -optimal",0.904805648568069,1634.55741942208,-2139.6480151657,1332.91251234803,-1955.69017667836
"lig_23","lig_31","D -optimal",0.740731694370158,1124.35306175984,-2619.46730535594,919.530863570981,-2802.28543179086
"lig_19","lig_24","D -optimal",0.740731694370158,1398.91162726749,-2631.12076664413,1349.9255346749,-2896.77319024131
"lig_29","lig_35","D -optimal",1,1592.99349912611,-2403.77583456691,1634.55741942208,-2139.6480151657
