"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_20","lig_42","A -optimal",1,-6211.40260921419,1720.37799449451,-6063.16830804199,2015.37251591263
"lig_38","lig_47","A -optimal",0.406371546514256,-6453.28720808402,1208.47879772773,-6631.50228567608,1567.80803805782
"lig_64","lig_68","A -optimal",0.740731694370158,-6178.85549428314,998.752341039479,-5990.10088529903,699.634262787236
"lig_35","lig_58","A -optimal",0.300960919712809,-6007.73755621538,1383.00770321023,-6273.69576947764,1077.19307070016
"lig_65","lig_67","A -optimal",0.904805648568069,-5783.25653390959,1036.00934614288,-5723.60167920589,740.719283090672
"lig_42","lig_43","A -optimal",0.818670237406793,-6063.16830804199,2015.37251591263,-6146.46633653715,1803.64354055535
"lig_29","lig_35","A -optimal",1,-5620.44280214235,1200.87313024839,-6007.73755621538,1383.00770321023
"lig_20","lig_35","A -optimal",0.332648366635892,-6211.40260921419,1720.37799449451,-6007.73755621538,1383.00770321023
"lig_35","lig_55","A -optimal",0.904805648568069,-6007.73755621538,1383.00770321023,-6258.19559425116,1303.69991993956
"lig_35","lig_56","A -optimal",0.904805648568069,-6007.73755621538,1383.00770321023,-5965.88943218277,1769.26552572963
"lig_20","lig_41","A -optimal",0.606399302289221,-6211.40260921419,1720.37799449451,-6401.91474732012,1510.14205178653
"lig_35","lig_62","A -optimal",0.740731694370158,-6007.73755621538,1383.00770321023,-5883.64120704308,1583.07005095133
"lig_35","lig_70","A -optimal",0.904805648568069,-6007.73755621538,1383.00770321023,-6072.36269136518,1018.34633463365
"lig_43","lig_48","A -optimal",0.606399302289221,-6146.46633653715,1803.64354055535,-6468.17822698015,1852.50553137192
"lig_35","lig_65","A -optimal",0.818670237406793,-6007.73755621538,1383.00770321023,-5783.25653390959,1036.00934614288
"lig_38","lig_59","A -optimal",0.272288932054776,-6453.28720808402,1208.47879772773,-6660.87440468371,1160.75777134697
"lig_35","lig_64","A -optimal",0.740731694370158,-6007.73755621538,1383.00770321023,-6178.85549428314,998.752341039479
"lig_31","lig_35","A -optimal",0.496417241758028,-5564.27946742252,1449.48435434539,-6007.73755621538,1383.00770321023
"lig_44","lig_49","A -optimal",1,-6502.36267022043,1720.8814510433,-6699.06486392021,1490.23169285897
"lig_46","lig_47","A -optimal",0.670209984323405,-6893.39954288467,1609.03002858302,-6631.50228567608,1567.80803805782
"lig_35","lig_43","A -optimal",0.406371546514256,-6007.73755621538,1383.00770321023,-6146.46633653715,1803.64354055535
