"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_23485","lig_23486","A-optimal (lomap)",0.932392093036786,-1297.31470328453,-1366.17324368376,-1149.07296355255,-1500.08080161503
"lig_23467","lig_23473","A-optimal (lomap)",0.310349325922321,-882.728898939909,-1218.7064351663,-645.237121219281,-1399.96700737299
"lig_23466","lig_23472","A-optimal (lomap)",0.139434875304199,-877.164230922237,-1383.53265897974,-482.042311308905,-1419.15887759812
"lig_20670_2qbs","lig_23479","A-optimal (lomap)",0.511696105326214,-862.409487350378,-1553.96443070471,-1074.84993623523,-1641.48346414138
"lig_23466","lig_23474","A-optimal (lomap)",0.254087907157176,-877.164230922237,-1383.53265897974,-1080.23738060333,-1203.22675681673
"lig_20669_2qbr","lig_23473","A-optimal (lomap)",0.932392093036786,-534.647962004412,-1516.03009736876,-645.237121219281,-1399.96700737299
"lig_23466","lig_23476","A-optimal (lomap)",0.254087907157176,-877.164230922237,-1383.53265897974,-726.472647950053,-1095.21710848436
"lig_23466","lig_23467","A-optimal (lomap)",0.763373450323513,-877.164230922237,-1383.53265897974,-882.728898939909,-1218.7064351663
"lig_23484","lig_23486","A-optimal (lomap)",0.843660823316379,-1243.91307596676,-1667.92274495773,-1149.07296355255,-1500.08080161503
"lig_20670_2qbs","lig_23483","A-optimal (lomap)",0.154102055539472,-862.409487350378,-1553.96443070471,-957.353065689094,-1801.6813107878
"lig_20670_2qbs","lig_23466","A-optimal (lomap)",0.310349325922321,-862.409487350378,-1553.96443070471,-877.164230922237,-1383.53265897974
"lig_23466","lig_23480","A-optimal (lomap)",0.11415499029069,-877.164230922237,-1383.53265897974,-596.129546750337,-1226.73376967758
"lig_23466","lig_23471","A-optimal (lomap)",0.462999352018257,-877.164230922237,-1383.53265897974,-949.474607617594,-983.223992380081
"lig_20667_2qbp","lig_23482","A-optimal (lomap)",0.310349325922321,-1323.35701686423,-1553.58441165648,-1021.62037506886,-1468.89580764039
"lig_23466","lig_23477","A-optimal (lomap)",0.310349325922321,-877.164230922237,-1383.53265897974,-882.120357239619,-1677.26980760577
"lig_23466","lig_23475","A-optimal (lomap)",0.379067177980075,-877.164230922237,-1383.53265897974,-736.169163957238,-1250.09198860079
