"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_23467","lig_23480","A -optimal",0.126163461810246,-1341.13517493568,-793.577020563651,-1177.03884746367,-885.045071794186
"lig_23466","lig_23475","A -optimal",0.379067177980075,-1513.98621949926,-702.790616028942,-1409.62983082235,-534.036135843489
"lig_23469","lig_23472","A -optimal",0.462999352018257,-1405.23553819396,-978.978740846738,-1587.30105691217,-1041.03902408294
"lig_20670_2qbs","lig_23479","A -optimal",0.511696105326214,-1701.29571318626,-534.12148584926,-1697.57910148241,-411.038718082011
"lig_20669_2qbr","lig_23469","A -optimal",0.624992689690656,-1256.97589146998,-1020.4462472368,-1405.23553819396,-978.978740846738
"lig_23330_2qbq","lig_23477","A -optimal",0.418936707488351,-1545.42523955554,-385.256812678417,-1652.9131598305,-620.928334256576
"lig_20670_2qbs","lig_23485","A -optimal",0.11415499029069,-1701.29571318626,-534.12148584926,-1978.5630359035,-566.876691030571
"lig_20667_2qbp","lig_23479","A -optimal",0.170311796585669,-1871.11034425348,-643.955111779273,-1697.57910148241,-411.038718082011
"lig_23467","lig_23470","A -optimal",0.254087907157176,-1341.13517493568,-793.577020563651,-1134.58855138777,-623.739537801594
"lig_20667_2qbp","lig_23477","A -optimal",0.126163461810246,-1871.11034425348,-643.955111779273,-1652.9131598305,-620.928334256576
"lig_20670_2qbs","lig_23466","A -optimal",0.310349325922321,-1701.29571318626,-534.12148584926,-1513.98621949926,-702.790616028942
"lig_23466","lig_23467","A -optimal",0.763373450323513,-1513.98621949926,-702.790616028942,-1341.13517493568,-793.577020563651
"lig_20669_2qbr","lig_23466","A -optimal",0.254087907157176,-1256.97589146998,-1020.4462472368,-1513.98621949926,-702.790616028942
"lig_20670_2qbs","lig_23482","A -optimal",0.418936707488351,-1701.29571318626,-534.12148584926,-1727.68774694484,-798.504716691445
"lig_23466","lig_23476","A -optimal",0.254087907157176,-1513.98621949926,-702.790616028942,-1254.75904146954,-626.374504121952
"lig_23466","lig_23471","A -optimal",0.462999352018257,-1513.98621949926,-702.790616028942,-1348.7090214435,-404.195450969506
"lig_20667_2qbp","lig_23486","A -optimal",1,-1871.11034425348,-643.955111779273,-1811.19642582908,-909.462646898814
"lig_23466","lig_23477","A -optimal",0.310349325922321,-1513.98621949926,-702.790616028942,-1652.9131598305,-620.928334256576
"lig_23466","lig_23468","A -optimal",0.462999352018257,-1513.98621949926,-702.790616028942,-1204.17687340348,-451.757145822048
