"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_23482","lig_23484","A -optimal",0.254087907157176,-2598.32072678767,289.73665089393,-2862.30619543232,241.813910217257
"lig_23477","lig_23482","A -optimal",0.418936707488351,-2384.59577623941,324.51777990628,-2598.32072678767,289.73665089393
"lig_23467","lig_23473","A -optimal",0.310349325922321,-2049.8143994119,-301.413051636428,-1800.72880645236,-417.906820345495
"lig_23466","lig_23480","A -optimal",0.11415499029069,-2204.80259665661,52.4347120693419,-2241.65301942639,-241.925323482603
"lig_20670_2qbs","lig_23483","A -optimal",0.154102055539472,-2363.78999897651,168.529361629888,-2387.9270220185,474.868950882927
"lig_23485","lig_23486","A -optimal",0.932392093036786,-2872.29773033014,-16.6203027267475,-2781.86260036379,155.950901856879
"lig_20667_2qbp","lig_23479","A -optimal",0.170311796585669,-2699.38354904205,-180.60934319091,-2467.22454967629,-74.1639013526728
"lig_23466","lig_23471","A -optimal",0.462999352018257,-2204.80259665661,52.4347120693419,-1864.51040888205,198.803123645717
"lig_23466","lig_23475","A -optimal",0.379067177980075,-2204.80259665661,52.4347120693419,-2117.88753953017,-105.913114669733
"lig_20670_2qbs","lig_23466","A -optimal",0.310349325922321,-2363.78999897651,168.529361629888,-2204.80259665661,52.4347120693419
"lig_23466","lig_23467","A -optimal",0.763373450323513,-2204.80259665661,52.4347120693419,-2049.8143994119,-301.413051636428
"lig_23466","lig_23477","A -optimal",0.310349325922321,-2204.80259665661,52.4347120693419,-2384.59577623941,324.51777990628
"lig_23482","lig_23486","A -optimal",0.301176362269401,-2598.32072678767,289.73665089393,-2781.86260036379,155.950901856879
"lig_20669_2qbr","lig_23469","A -optimal",0.624992689690656,-1931.87444888428,-218.892476890716,-1844.35737177916,-11.9870286406949
"lig_23466","lig_23474","A -optimal",0.254087907157176,-2204.80259665661,52.4347120693419,-1887.70185648557,-120.022002724349
"lig_20669_2qbr","lig_23466","A -optimal",0.254087907157176,-1931.87444888428,-218.892476890716,-2204.80259665661,52.4347120693419
"lig_23466","lig_23468","A -optimal",0.462999352018257,-2204.80259665661,52.4347120693419,-1912.67203050852,288.466066285037
"lig_20670_2qbs","lig_23479","A -optimal",0.511696105326214,-2363.78999897651,168.529361629888,-2467.22454967629,-74.1639013526728
