"LIGAND_1","LIGAND_2","DESIGN","SIM_WEIGHT","X1","Y1","X2","Y2"
"lig_20667_2qbp","lig_23486","A -optimal",1,-1494.85722932406,-474.841326597147,-1524.73180188797,-198.019953811541
"lig_20669_2qbr","lig_23467","A -optimal",0.280813252012583,-974.145228479989,-224.092899622861,-1155.39203014621,-193.390313243493
"lig_23469","lig_23472","A -optimal",0.462999352018257,-794.653028383385,-242.548925925046,-869.663467651233,-87.1858860123903
"lig_23466","lig_23476","A -optimal",0.254087907157176,-1192.99193415418,-270.391916988418,-1266.31682645902,102.240022959304
"lig_20670_2qbs","lig_23482","A -optimal",0.418936707488351,-1312.22924261168,-239.052644934505,-1377.41975875385,-335.426291751675
"lig_20670_2qbs","lig_23485","A -optimal",0.11415499029069,-1312.22924261168,-239.052644934505,-1649.62072537374,-271.075381759088
"lig_20667_2qbp","lig_23485","A -optimal",0.932392093036786,-1494.85722932406,-474.841326597147,-1649.62072537374,-271.075381759088
"lig_23471","lig_23477","A -optimal",0.0419791277375236,-1060.86459070607,-50.3430867306888,-1231.78695514239,-361.187435680069
"lig_23468","lig_23470","A -optimal",0.418936707488351,-1360.07581164339,-16.7667322522029,-1094.7524199523,98.3579468708485
"lig_23467","lig_23475","A -optimal",0.0845614764916318,-1155.39203014621,-193.390313243493,-1190.93052487494,-1.1480597978225
"lig_23473","lig_23480","A -optimal",0.0626380622552934,-1016.01269827224,-352.946950525045,-857.503340521362,-376.247798036435
"lig_23466","lig_23472","A -optimal",0.139434875304199,-1192.99193415418,-270.391916988418,-869.663467651233,-87.1858860123903
"lig_23467","lig_23473","A -optimal",0.310349325922321,-1155.39203014621,-193.390313243493,-1016.01269827224,-352.946950525045
"lig_23484","lig_23485","A -optimal",0.843660823316379,-1606.96397683211,-413.070289922878,-1649.62072537374,-271.075381759088
"lig_23466","lig_23475","A -optimal",0.379067177980075,-1192.99193415418,-270.391916988418,-1190.93052487494,-1.1480597978225
"lig_23477","lig_23484","A -optimal",0.103289275926377,-1231.78695514239,-361.187435680069,-1606.96397683211,-413.070289922878
"lig_23330_2qbq","lig_23483","A -optimal",0.0692284511569292,-1364.42678402185,-535.044829466846,-1157.48312108032,-546.724304696545
"lig_23469","lig_23473","A -optimal",0.565514340886872,-794.653028383385,-242.548925925046,-1016.01269827224,-352.946950525045
"lig_20670_2qbs","lig_23468","A -optimal",0.0419791277375236,-1312.22924261168,-239.052644934505,-1360.07581164339,-16.7667322522029
"lig_20669_2qbr","lig_23472","A -optimal",0.379067177980075,-974.145228479989,-224.092899622861,-869.663467651233,-87.1858860123903
"lig_23477","lig_23486","A -optimal",0.122434013099066,-1231.78695514239,-361.187435680069,-1524.73180188797,-198.019953811541
"lig_23473","lig_23474","A -optimal",0.154102055539472,-1016.01269827224,-352.946950525045,-955.817786358297,-484.551688388921
"lig_20669_2qbr","lig_23466","A -optimal",0.254087907157176,-974.145228479989,-224.092899622861,-1192.99193415418,-270.391916988418
