Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
0         ,1         ,lig_ejm_31.sdf           ,lig_ejm_42.sdf           ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:30,31:31
0         ,2         ,lig_ejm_31.sdf           ,lig_ejm_43.sdf           ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:30,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:21,31:31
0         ,3         ,lig_ejm_31.sdf           ,lig_ejm_44.sdf           ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:30,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:21,31:31
0         ,4         ,lig_ejm_31.sdf           ,lig_ejm_45.sdf           ,0.74082        ,0.74082        ,0.74082        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:32,31:30
0         ,5         ,lig_ejm_31.sdf           ,lig_ejm_46.sdf           ,0.36788        ,0.36788        ,0.36788        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:22,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
0         ,6         ,lig_ejm_31.sdf           ,lig_ejm_47.sdf           ,0.33287        ,0.33287        ,0.33287        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:19,22:20,23:21,24:22,25:23,26:24,27:25,28:26,29:27
0         ,7         ,lig_ejm_31.sdf           ,lig_ejm_48.sdf           ,0.30119        ,0.30119        ,0.30119        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:19,22:20,23:21,24:22,25:23,26:24,27:25,28:26,29:27
0         ,8         ,lig_ejm_31.sdf           ,lig_ejm_49.sdf           ,0.27253        ,0.27253        ,0.27253        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:19,22:20,23:21,24:22,25:23,26:24,27:25,28:26,29:27
0         ,9         ,lig_ejm_31.sdf           ,lig_ejm_50.sdf           ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,30:32,31:30
0         ,10        ,lig_ejm_31.sdf           ,lig_ejm_54.sdf           ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:22,20:19,22:20,23:21,25:23,26:24,27:25,28:26,29:27
0         ,11        ,lig_ejm_31.sdf           ,lig_ejm_55.sdf           ,0.86071        ,0.86071        ,0.86071        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:21,20:19,22:20,24:22,25:23,26:24,27:25,28:26,29:27
0         ,12        ,lig_ejm_31.sdf           ,lig_jmc_23.sdf           ,0.33287        ,0.33287        ,0.33287        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:23,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
0         ,13        ,lig_ejm_31.sdf           ,lig_jmc_27.sdf           ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:23,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
0         ,14        ,lig_ejm_31.sdf           ,lig_jmc_28.sdf           ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:23,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
0         ,15        ,lig_ejm_31.sdf           ,lig_jmc_30.sdf           ,0.30119        ,0.30119        ,0.30119        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:23,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
1         ,2         ,lig_ejm_42.sdf           ,lig_ejm_43.sdf           ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,31:31
1         ,3         ,lig_ejm_42.sdf           ,lig_ejm_44.sdf           ,0.81873        ,0.81873        ,0.81873        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,31:31
1         ,4         ,lig_ejm_42.sdf           ,lig_ejm_45.sdf           ,0.36788        ,0.36788        ,0.36788        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26,27:27,28:28,29:29,31:30
1         ,5         ,lig_ejm_42.sdf           ,lig_ejm_46.sdf           ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:22,22:26,23:27,24:28,25:29,26:30,27:31,28:32,29:33
1         ,6         ,lig_ejm_42.sdf           ,lig_ejm_47.sdf           ,0.30119        ,0.30119        ,0.30119        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:19,22:20,23:21,24:22,25:23,26:24,27:25,28:26,29:27
1         ,7         ,lig_ejm_42.sdf           ,lig_ejm_48.sdf           ,0.27253        ,0.27253        ,0.27253        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,20:19,22:20,23:21,24:22,25:23,26:24,27:25,28:26,29:27
