#tnks2	tnks2	tnks2
#21	21	21
#27	27	27
#A opt	D opt	lomap
1.00	1.00	1.00
0.60	1.00	0.51
0.60	0.70	0.51
0.80	0.69	0.66
0.78	0.65	0.74
0.60	0.68	0.60
0.68	0.62	0.82
1.00	0.74	0.85
0.72	0.66	0.67
0.73	0.76	0.90
1.00	0.72	0.84
1.00	0.75	0.99
1.00	0.77	0.58
1.00	0.69	0.66
0.59	0.74	0.82
0.65	0.70	0.82
0.64	0.66	0.79
0.68	0.75	0.82
0.58	0.74	0.85
0.55	0.67	0.79
0.65	0.69	0.74
0.61	0.70	0.67
0.70	0.70	0.53
0.64	0.80	0.66
0.64	0.86	0.58
0.76	0.86	0.82
0.80	0.73	0.82
1.00	1.00	1.00
