#ptp1b	ptp1b	ptp1b
#23	23	23
#34	34	34
#A opt	D opt	lomap
0.32	0.59	0.50
0.47	0.70	0.72
0.86	0.74	0.90
0.40	0.56	0.91
0.77	0.79	0.73
0.86	0.77	0.68
0.50	0.58	0.62
0.80	0.54	0.61
0.44	0.50	0.57
0.70	0.57	0.49
0.63	0.56	0.49
0.57	0.52	0.35
0.35	0.54	0.62
0.78	0.64	0.61
0.76	0.69	0.57
0.58	0.53	0.62
0.76	1.00	0.59
0.66	1.00	0.72
1.00	0.54	0.72
1.00	0.62	0.60
0.58	0.64	0.58
0.35	0.58	1.00
0.51	1.00	1.00
0.58	0.60	0.59
0.55	0.62	0.55
0.74	0.72	0.59
0.81	0.60	0.76
0.74	0.62	0.76
0.62	0.57	0.37
0.57	0.56	0.60
0.52	0.52	0.57
0.54	0.55	0.74
0.84	0.70	0.62
0.84	0.72	0.74
1.00	1.00	0.92
