#pfkfb3	pfkfb3	pfkfb3
#40	40	40
#56	56	56
#A opt	D opt	lomap
0.77	0.68	0.66
0.74	0.67	0.61
0.76	0.65	0.96
0.60	0.68	0.96
0.32	0.61	0.64
0.73	0.62	0.64
0.74	0.61	0.62
0.69	0.73	0.49
0.54	0.72	0.74
0.84	0.65	0.75
0.60	0.60	0.84
0.80	0.80	0.85
0.46	0.80	1.00
0.55	0.69	0.79
0.78	0.64	0.81
0.81	0.62	0.72
0.65	0.78	0.74
0.70	0.61	0.79
1.00	1.00	0.76
0.40	0.62	0.78
0.40	0.71	0.65
0.44	0.66	0.63
1.00	0.67	0.70
1.00	0.72	0.47
1.00	0.66	0.66
0.77	0.65	0.66
0.79	0.64	0.61
1.00	0.68	0.73
0.42	1.00	0.71
1.00	0.67	0.64
0.67	0.65	0.51
0.60	0.57	0.61
0.68	0.67	0.60
1.00	0.62	0.63
0.84	0.76	0.63
0.63	0.73	0.74
0.57	0.70	0.63
0.54	0.70	0.66
0.73	0.64	0.63
0.46	0.76	0.64
0.73	0.72	0.62
0.53	0.77	0.62
0.41	0.77	0.50
0.70	0.70	0.62
0.48	0.64	0.67
0.72	0.81	0.65
0.81	0.60	0.74
0.77	0.63	0.68
0.72	0.76	0.77
0.83	0.73	0.60
0.81	0.72	0.78
0.62	0.66	0.63
0.67	0.73	0.63
0.71	0.76	0.58
0.71	0.65	0.70
0.78	0.73	0.69
1.00	1.00	1.00
